authors,title,journal,volume,issue,pages,year,doi,abstract,date
"Caya R, Gayed M, Wilson R, Childs JD, Christopherson RM, Fernandes LG, Lim YW, Pierobon A, Pryymachenko Y, Abbott JH",Do treatment expectations moderate the effect of manual therapy in people with knee osteoarthritis? A secondary analysis of randomised clinical trials,JOSPT Open,4,2,232–238,2026,10.2519/josptopen.2026.0180,"*Objective*\ To investigate whether treatment expectations for joint mobilisation or massage moderated the effect of manual therapy on pain outcomes in knee osteoarthritis (OA).\ \ *Design*\ Secondary moderation analysis of two 2#sym.times;2 factorial randomised controlled trials.\ \ *Methods*\ Data were pooled from two trials that compared manual therapy and exercise to exercise alone in 375 people with knee OA. Before randomisation, expectations were measured using a questionnaire that captured patients’ views about the effect of common OA treatments to reduce knee pain using a 5-point Likert scale ranging from ""completely disagree"" to ""completely agree"". Responses regarding joint mobilisation and massage were dichotomised into high and low expectations. The primary outcome was pain intensity at 9-weeks measured by Numeric Pain Rating Scale (NPRS). Linear regression models were used to test whether treatment expectations moderated manual therapy treatment response. Models were conducted separately for each of the two potential moderators (joint mobilisation and massage) and adjusted for the same covariates associated with the outcomes of the original trials.\ \ *Results*\ Primary regression analysis showed no significant interaction effect between manual therapy and treatment expectations on pain outcomes at 9-weeks follow-up (mobilisation: #sym.beta = #sym.minus;0.17, 95% CI: #sym.minus;0.90 to 0.56; massage: #sym.beta = #sym.minus;0.26, 95% CI: #sym.minus;1.00 to 0.47). Sensitivity analyses showed similar findings.\ \ *Conclusion*\ These exploratory findings indicated that treatment expectations did not moderate patient response to manual therapy for OA.",2026-04-15
"Pierobon A. Gaspar Fernandes L, Wilson R, Christopherson RM, Stanley J, Pryymachenko Y, Lim YW, Caya R, Gayed M, Abbott H",Validity of the Global Rating of Change in patients with chronic low back pain,Musculoskeletal Science and Practice,80,,103443,2025,10.1016/j.msksp.2025.103443,"*Background*\ The Global Rating of Change (GROC) is a widely used outcome measure that aims to capture change in overall health status. There is limited evidence on the validity of the GROC for measuring change among patients with chronic low back pain (CLBP), and little is known about which clinical variables explain the GROC score.\ \ *Objectives*\ This study aimed to assess the validity of the GROC in measuring change, and identify which clinical variables correlate with the GROC score in patients with CLBP.\ \ *Design*\ Retrospective observational study.\ \ *Methods*\ This secondary analysis included clinical data from patients with CLBP enrolled in a physiotherapy program. Data on pain intensity, function, pain catastrophizing, depression, and quality of life were collected at baseline and discharge, and the GROC scale was completed at discharge. We performed Spearman correlation and linear regression analyses to examine the relationship between the GROC and change/discharge scores for all clinical variables.\ \ *Results*\ Data from 102 participants were analysed. Spearman correlations between the GROC and discharge scores were greater (-0.46 to -0.71) than correlations between the GROC and change scores (-0.34 to -0.63) for all variables. The linear regression model including discharge scores explained a greater part of the variance of the GROC score (R<sup>2</sup> = 0.63) than the model including change scores (R<sup>2</sup> = 0.46). In both models, pain intensity was the variable most strongly associated with the GROC score.\ \ *Conclusion*\ Baseline and discharge outcome measures should be preferred over the GROC for measuring change after treatment in patients with CLBP.",2025-11-08
"Lim YW, Al-Busaidi IS, Caya R, Bricca A, Mangin D, Wilson R, Abbott JH",Effectiveness of interventions for the management of multimorbidity in primary care and community settings: systematic review and meta-analysis,Family Practice,42,6,,2025,10.1093/fampra/cmaf085,"*Background*\ Multimorbidity – the co-existence of two or more chronic health conditions in the same individual, without reference to an index condition – has become a global health issue and creates enormous pressure on the healthcare system. This review aimed to summarise evidence on the effectiveness of interventions used to manage people with multimorbidity.\ \ *Methods*\ MEDLINE, EMBASE, CINAHL, Cochrane Library, two trials registers, and grey literature were searched for studies of adults with multimorbidity receiving care in primary or community care settings up to 30-September-2024. Two reviewers independently screened studies for eligibility, extracted data, and assessed risk of bias and study certainty. Interventions were categorised as medicines management (MM), support for self-management (SSM), or care coordination plus support for self-management (CC+SSM). Meta-analyses for primary outcomes (health-related quality of life, healthcare utilisation, and healthcare costs) were conducted.\ \ *Results*\ From 10,272 titles screened, 33 eligible studies (this review:18, previous review:15; MM:6, SSM:9, CC+SSM:18) were identified, of which 26 studies with 9,449 participants were included in meta-analysis. Overall, there was little significant evidence of benefit of the interventions compared to usual care for most outcomes. SSM was associated with lower hospitalisation risk and medication costs, but slightly more emergency department (ED) visits; and CC+SSM with better SF-12 PCS score, lower hospitalisation risk and fewer ED visits, but more outpatient and general practitioner visits.\ \ *Conclusion*\ This review found some suggestions of improved outcomes and reduced healthcare utilisation (especially hospitalisation) for these interventions. There is a paucity of evidence reporting on health outcomes, especially healthcare costs, in the management of multimorbidity.",2025-10-20
"Pryymachenko Y, Wilson R, Dalbeth N, Abbott JH, Stamp L",Cost-effectiveness of low dose colchicine prophylaxis when starting allopurinol using the “start-low go-slow” approach for gout: evidence from a non-inferiority randomised double-blind placebo-controlled trial,Arthritis Care & Research,In press,,,2025,10.1002/acr.25631,"*Objective*\ The aim of this study was to investigate the cost-effectiveness of low-dose colchicine prophylaxis for preventing gout flares when starting allopurinol using the “start-low go-slow” approach.\ \ *Methods*\ Participants with gout, fulfilling the American College of Rheumatology recommendations for starting urate-lowering therapy and with serum urate #sym.gt.eq;0.36 mmol/L (6mg/dL), were randomly allocated (1:1) to either colchicine (0.5 mg daily) or placebo for six months with a further six-month follow-up. All participants received allopurinol, with monthly increase in dose to achieve target urate #sym.lt;0.36 mmol/L. The primary outcomes were incremental cost-effectiveness at 6-month and 1-year follow-up from the health system perspective, measured by incremental net monetary benefit (INMB) at a willingness-to-pay threshold equivalent to gross domestic product per capita.\ \ *Results*\ Two hundred participants were randomized to either colchicine (n=100) or placebo (n=100). Mean costs were higher in the colchicine group over both 6 months and 1 year (adjusted mean difference \$1 848 [95%CI −321 to 4 017] and \$2 282 [95%CI −173 to 4 737], respectively). Quality-adjusted life years were slightly higher in the colchicine group over 6 months (adjusted mean difference 0.008 [95%CI −0.020 to 0.035]), but lower over 1 year (−0.015, [95%CI −0.039 to 0.010]). Treatment with colchicine was not found to be cost-effective at either 6-months or 12-months (INMB #sym.minus;\$1 373 (95%CI −4 287 to 1 542) and −\$3 191 (95%CI −6 274 to −107), probability of cost-effectiveness 17.7% and 1.5%, respectively). Similar results were obtained from a societal perspective.\ \ *Conclusion*\ Six months of low-dose colchicine prophylaxis when starting allopurinol using the “start-low go-slow” approach is unlikely to be cost-effective over 12 months.",2025-11-25
"Pryymachenko Y, Wilson R, Abbott JH, Dowsey M, Choong P",The long-term impacts of opioid use before and after joint arthroplasty: matched cohort analysis of New Zealand linked register data,Family Practice,41,6,916–924,2024,10.1093/fampra/cmad112,"*Background*\ Opioids are commonly used both before and after total joint arthroplasty (TJA).\ \ *Objective*\ The objective of this study was to estimate the long-term effects of pre- and perioperative opioid use in patients undergoing TJA.\ \ *Methods*\ We used linked population datasets to identify all (n =18,666) patients who had a publicly funded TJA in New Zealand between 2011 and 2013. We used propensity score matching to match individuals who used opioids either before surgery, during hospital stay, or immediately post-discharge with individuals who did not based on a comprehensive set of covariates. Regression analysis was used to estimate the effect of opioid use on health and socio-economic outcomes over 5 years.\ \ *Results*\ Opioid use in the 3 months prior to surgery was associated with significant increases in healthcare utilization and costs (number of hospitalizations 6%, days spent in hospital 14.4%, opioid scripts dispensed 181%, and total healthcare costs 11%). Also increased were the rate of receiving social benefits (2 percentage points) and the rates of opioid overdose (0.5 percentage points) and mortality (3 percentage points). Opioid use during hospital stay or post-discharge was associated with increased long-term opioid use, but there was little evidence of other adverse effects.\ \ *Conclusions*\ Opioid use before TJA is associated with significant negative health and economic consequences and should be limited. This has implications for opioid prescribing in primary care. There is little evidence that peri- or post-operative opioid use is associated with significant long-term detriments.",2023-12-05
"Reynolds A, Hood F, Wilson R, Ross A, Neumann S, Turner R, Iosua E, Katare R, Shahin A, Kok Z-Y, Chan H, Coffey S, Mann J",Protocol for a three-arm randomised controlled trial of healthy grocery delivery in the usual care for adults recovering from an acute coronary event,BMJ Open,13,,e074278,2023,10.1136/bmjopen-2023-074278,"*Introduction*\ Coronary heart disease is a major contributor to the global burden of disease. Appropriate nutrition is a cornerstone of the prevention and treatment of coronary heart disease, however barriers including cost and access to recommended foods limits long-term adherence for many. We are conducting, in adults with coronary heart disease, a randomised controlled trial comparing usual care with two dietary interventions in which usual care is augmented by 12 weeks free delivered groceries.\ \ *Methods and analysis*\ Three hundred adults recovering from an acute coronary event will be recruited from outpatient cardiovascular services in three regions of Aotearoa New Zealand. Participants will be randomly allocated to three arms: usual care (control group), usual care and the free delivery of foods high in dietary fibre, or usual care and the free delivery of foods high in unsaturated fats. Interventions duration is 12 weeks, with a further 12 months follow up. The primary outcome measures are change in LDL cholesterol concentration following the intervention, and a cost effectiveness analysis of health care access and social costs in the year after the intervention. A broad range of secondary outcome measures include other blood lipids, anthropometry, glycaemia, inflammatory markers, gut microbiome, dietary biomarkers, food acceptability, dietary change, and the facilitators and barriers to dietary change. The trial will determine whether the free provision of groceries known to reduce cardiovascular risk within usual care will be clinically beneficial and justify the cost of doing so. Results may also provide an indication of the relative benefit of foods rich in dietary fibre or unsaturated fats in coronary heart disease management.\ \ *Ethics and dissemination*\ This trial, The Healthy Heart Study, has Health and Disability Ethics Committee approval (20/NTB/121), underwent Māori consultation, and has locality authority to be conducted in Canterbury, Otago, and Southland.\ \ *Registration*\ ACTRN12620000689976, U1111-1250-1499",2023-11-30
"Bühler M, Gwynne-Jones D, Chin M, Woodside J, Gough J, Wilson R, Abbott JH",Are the outcomes of relative motion extension orthoses non-inferior and cost-effective compared with dynamic extension orthoses for management of zones V-VI finger extensor tendon repairs: A randomized controlled trial,Journal of Hand Therapy,36,2,363–377,2023,10.1016/j.jht.2023.02.010,"*Introduction*\ There is no comparative evidence for relative motion extension (RME) orthosis with dynamic wrist-hand-finger-orthosis (WHFO) management of zones V-VI extensor tendon repairs.\ \ *Purpose of the study*\ To determine if RME with wrist-hand-orthosis (RME plus) is noninferior to dynamic WHFO for these zones in clinical outcomes.\ \ *Study design*\ Randomized controlled non-inferiority trial.\ \ *Methods*\ Skilled hand therapists managed 37 participants (95% male; mean age 39 years, SD 18) with repaired zones V-VI extensor tendons randomized to RME plus (n = 19) or dynamic WHFO (n = 18). The primary outcome of percentage of total active motion (%TAM) and secondary outcomes of satisfaction, function, and quality of life were measured at week-6 and -12 postoperatively; percentage grip strength (%Grip), complication rates, and cost data at week-12. Following the intention-to-treat principle non-inferiority was assessed using linear regression analysis (5% significance) and adjusted for injury complexity factors with an analysis of costs performed.\ \ *Results*\ RME plus was noninferior for %TAM at week-6 (adjusted estimates 2.5; 95% CI -9.0 to 14.0), %TAM at week-12 (0.3; -6.8 to 7.5), therapy satisfaction at week-6 and -12, and orthosis satisfaction, QuickDASH, and %Grip at week-12. Per protocol analysis yielded 2 tendon ruptures in the RME plus orthoses and 1 in the dynamic WHFO. There were no differences in health system and societal cost, or quality-adjusted life years.\ \ *Discussion*\ RME plus orthosis wearers had greater injury complexity than those in dynamic WHFOs, with overall rupture rate for both groups comparatively more than reported by others; however, percentage %TAM was comparable. The number of participants needed was underestimated, so risk of chance findings should be considered.\ \ *Conclusions*\ RME plus management of finger zones V-VI extensor tendon repairs is non-inferior to dynamic WHFO in %TAM, therapy and orthotic satisfaction, QuickDASH, and %Grip. Major costs associated with this injury are related to lost work time.",2023-04-10
"Abdel-Shaheed C, Mathieson S, Wilson R, Furmage A-M, Maher C",Who should judge treatment effects as unimportant?,Journal of Physiotherapy,69,3,133–135,2023,10.1016/j.jphys.2023.04.001,"It is common to encounter authors of trials, systematic reviews and guidelines dismissing treatments on the grounds that their effects are not large enough to be worthwhile. The basis is often as simple as the treatment effect not surpassing a standard benchmark, such as 15 units on a 0 to 100 pain scale. We have been guilty of this practice ourselves, but now realise that things are more complex. This Editorial begins with a brief introduction to the smallest worthwhile effect, also referred to as the minimum clinically important difference. It then explains the limitations of the standard benchmark approach and proposes a more nuanced approach that considers the complexity of the clinical encounter and the wishes of the patient. An example from pain research is used.",2023-06-27
"Darlow B, Brown M, Stanley J, Abbott H, Briggs A, Clark J, Frew G, Grainger R, Hood F, Hudson B, Keenan R, Marra C, McKinlay E, Pask A, Pierobon A, Simmonds S, Vincent L, Dean S",Reducing the burden of knee osteoarthritis through community pharmacy: protocol for a randomised controlled trial of the Knee Care for Arthritis through Pharmacy Service (KneeCAPS),Musculoskeletal Care,21,4,1053–1067,2023,10.1002/msc.1785,"*Introduction*\ Knee osteoarthritis (OA) negatively impacts the health outcomes and equity, social and employment participation, and socio-economic wellbeing of those affected. Little community-based support is offered to people with knee OA in Aotearoa New Zealand. Identifying Māori and non-Māori with knee OA in community pharmacy and providing co-ordinated, evidence- and community-based care may be a scalable, sustainable, equitable, effective and cost-effective approach to improve health and wellbeing.\ \ *Aim*\ Assess whether the Knee Care for Arthritis through Pharmacy Service (KneeCAPS) intervention improves knee-related physical function and pain (co-primary outcomes). Secondary aims assess impacts on health-related quality of life, employment participation, medication use, secondary health care utilisation, and relative effectiveness for Māori.\ \ *Methods and analysis*\ A pragmatic randomised controlled trial will compare the KneeCAPS intervention to the Pharmaceutical Society of New Zealand Arthritis Fact Sheet and usual care (active control) at 12 months for Māori and non-Māori who have knee OA. Participants will be recruited in community pharmacies. Knee-related physical function will be measured using the function subscale of the Short Form of the Western Ontario and McMaster Universities Osteoarthritis Index. Knee-related pain will be measured using an 11-point numeric pain rating scale. Primary outcome analyses will be conducted on an intention-to-treat basis using linear mixed models. Parallel within-trial health economic analysis and process evaluation will also be conducted.\ \ *Ethics and trial dissemination*\ Ethical approval was obtained from the Central Health and Ethics Committee (2022-EXP-11725). The trial is registered with ANZCTR (ACTRN12622000469718). Findings will be submitted for publication and shared with participants.",2023-05-22
"Pryymachenko Y, Wilson R, Abbott JH",Epidemiology of cruciate ligament injuries in New Zealand: exploring differences by ethnicity and socioeconomic status,Injury prevention,29,,213–218,2023,10.1136/ip-2022-044761,"*Objectives*\ To investigate the temporal trends and ethnic and socioeconomic disparities in cruciate ligament (CL) injury incidence and associated costs in New Zealand over a 14-year period.\ \ *Methods*\ All CL injury claims lodged between 2007 and 2020 were extracted from the Accident Compensation Corporation (a nationwide no-fault injury compensation scheme) claims dataset. Age-adjusted and sex-adjusted incidence rates, total injury costs and costs per claim were calculated for each year for total population and subgroups.\ \ *Results*\ The total number of CL injury claims increased from 6972 in 2007 to 8304 in 2019, then decreased to 7068 in 2020 (likely due to widespread COVID-19 restrictions; analysis is therefore restricted to 2007–2019 hereafter). The (age-adjusted and sex-adjusted) incidence rate remained largely unchanged and was 173 cases per 100 000 people in 2019. There was a 127% increase in total injury claims costs and a 90% increase in costs per claim. Pacific people had the highest incidence rate and costs per 100 000 people, while Asians had the lowest; European, Māori and ‘other’ ethnicities had similar incidence rates and total costs. Incidence rates and total costs increased with income and decreased with neighbourhood deprivation. Costs per claim differed little by ethnicity, but increased with income level.\ \ *Conclusion*\ The number and costs of CL injury claims in New Zealand are increasing. There are ethnic and socioeconomic disparities in CL incidence rates and costs, which are important to address when designing CL injury prevention programmes and programmes aimed at improving equity of access to medical care.",2023-06-05
