"conference","stub","location","date","title","note","citation","doi"
"ISPOR Real-World Evidence Summit","ispor","Tokyo","2025-09-28","Cost-effectiveness of primary and community care programmes for osteoarthritis: a modeling study using data from a multi-center national pilot program","poster presentation","Abbott JH, Wilson R. Cost-effectiveness of primary and community care programmes for osteoarthritis: a modeling study using data from a multi-center national pilot program. _Value in Health Regional Issues_ 2026; In press.",
"ISPOR Real-World Evidence Summit","ispor","Tokyo","2025-09-28","The long-term effects of opioid use before total joint replacement surgery: a dose-response trial emulation using New Zealand linked administrative data","poster presentation","Wilson R, Pryymachenko Y, Choong P, Dowsey M, Abbott JH. The long-term effects of opioid use before total joint replacement surgery: a dose-response trial emulation using New Zealand linked administrative data. _Value in Health Regional Issues_ 2026; In press.",
"ISPOR Real-World Evidence Summit","ispor","Tokyo","2025-09-28","Association between barriers to accessing general practitioners and emergency department visits in New Zealand","poster presentation","Lim YW, Gayed M, Christopherson R, Caya R, Gaspar Fernandes L, Pierobon A, Pryymachenko Y, Magin D, Abbott JH, Wilson R. Association between barriers to accessing general practitioners and emergency department visits in New Zealand. _Value in Health Regional Issues_ 2026; In press.",
"University of Otago Research Symposium: Harnessing Linked Population-Level Data for Health Research","otago","Dunedin","2025-11-25","Osteoarthritis diagnoses are under-recorded in primary care electronic health records in New Zealand","invited presentation",,
"Virtual Health Information Network (VHIN)","vhin","Webinar","2025-08-13","Long-term health and economic impacts of cruciate ligament injuries","invited presentation",,
"Aotearoa Osteoarthritis Research Network Annual Meeting","oarnet","Auckland","2025-07-18","The long-term effects of opioid use before joint replacement surgery: A dose-response trial emulation using linked administrative data",,,
"New Zealand Association of Economists 65th Annual Conference","nzae","Wellington","2025-06-25","Clinical practice guideline implementation to improve healthcare delivery and reduce healthcare costs",,,
"OARSI World Congress","oarsi","Incheon, South Korea","2025-04-24","Excess comorbidity burden in people with osteoarthritis in Aotearoa New Zealand: Data linkage to a population-based cross-sectional survey","poster presentation","Wilson R, Sharma I, Coppell K, Bell R, Skou S, Abbott JH. Excess comorbidity burden in people with osteoarthritis in Aotearoa New Zealand: Data linkage to a population-based cross-sectional survey. _Osteoarthritis and Cartilage_ 2025; In press.",
"8th Pharmacoepidemiology Research Network Symposium","prns","Dunedin","2024-11-27","The long-term effects of opioid use before total joint replacement surgery: a dose-response trial emulation with New Zealand linked administrative data",,,
"ACR Convergence","acr","Washington, D.C.","2024-11-14","Cost-effectiveness of low dose colchicine prophylaxis when starting allopurinol using the ""Start-Low Go-Slow"" approach for gout","poster presentation","Pryymachenko Y, Wilson R, Abbott JH, Dalbeth N, Stamp L. Cost-effectiveness of Low Dose Colchicine Prophylaxis When Starting Allopurinol Using the “Start-Low Go-Slow” Approach for Gout. _Arthritis Care and Research_ 2025; In press.",
"National Institute for Public Health, University of Southern Denmark","niph","Seminar","2024-09-01","The New Zealand Integrated Data Infrastructure (IDI)",,,
"PROgrez Research and Implementation Unit, Region Sjælland","progrez","Seminar","2024-09-01","Why economic evaluations are important in health research and how to get started",,,
"Clinical Pharmacology, Pharmacy and Environmental Medicine, Department of Public Health, University of Southern Denmark","sdu","Seminar","2024-09-01","Health economics for pharmacoepidemiologists – a primer",,,
"Department of Sports Science and Clinical Biomechanics, University of Southern Denmark","sdu","Seminar","2024-09-01","Impacts of preoperative opioid use on outcomes after joint replacement surgery",,,
"Center for Muscle and Joint Health, University of Southern Denmark","sdu","Seminar","2024-09-01","Why health economic evaluations are important in muscle and joint research and how to get started",,,
"Bruce McMillan Memorial Seminar","mcmillan","Dunedin","2024-07-04","The long-term impacts of opioid use before and after joint arthroplasty","invited presentation",,
"OARSI World Congress","oarsi","Vienna","2024-04-18","Health system and societal costs following osteoarthritis diagnosis in primary care","poster presentation","Wilson R, Pryymachenko Y, Schofield D, Shrestha R, Darlow B, Dowell T, MacRae J, Abbott JH. Health system and societal costs following osteoarthritis diagnosis in primary care. _Osteoarthritis Cartilage_ 2024;32(S1):S333",
"OARSI World Congress","oarsi","Vienna","2024-04-18","Predictive models for identifying hip and knee osteoarthritis in primary care electronic records: a natural language processing text classifier approach","poster presentation","MacRae J, Darlow B, Dowell T, Stephenson C, Oscroft N, Wilson R, Abbott JH. Predictive models for identifying hip and knee osteoarthritis in primary care electronic records: a natural language processing text classifier approach. _Osteoarthritis Cartilage_ 2024; 32(S1):S529",
"OARSI World Congress","oarsi","Vienna","2024-04-18","The primary care diagnosis and management of osteoarthritis","poster presentation","Abbott JH, Dowell T, MacRae J, Wilson R, Darlow B. The primary care diagnosis and management of osteoarthritis. _Osteoarthritis Cartilage_ 2024; 32(S1):S73",
"Aotearoa Osteoarthritis Research Network Annual Meeting","oarnet","Dunedin","2023-11-02","The diagnosis and management of osteoarthritis in Aotearoa New Zealand primary care",,,
"Australia and New Zealand Musculoskeletal Clinical Trials Network (ANZMUSC) Annual Scientific Meeting","anzmusc","Sydney [Virtual]","2023-10-24","Economic evaluation in a clinical trial: the LEAP trial","invited presentation",,
"Aotearoa Osteoarthritis Research Network Annual Meeting","oarnet","Wellington","2022-11-17","Navigating the early-mid career research pathway","invited presentation",,
"Aotearoa Osteoarthritis Research Network Annual Meeting","oarnet","Wellington","2022-11-17","Optimal treatment of hip and knee OA across the disease course",,,
"University of Otago Division of Health Sciences, Early and Mid-Career Researcher Annual Conference","otago","Dunedin","2021-11-11","Incorporating economic evaluation in clinical research to support research impact",,,
"Back and Neck Pain Forum","bnpf","Global virtual conference","2021-11-10","The effect of a guideline-implementation intervention (the FREE approach) on the primary care management of low back pain: Economic evaluation",,,
"Department of Surgical Sciences, Dunedin School of Medicine","surgery","Departmental seminar","2020-11-16","The CMOR Collaborative Research Writing initiative (CMOR-CREW)",,,
"Health Services Research Association of Australia and New Zealand, 11th Health Services and Policy Research Conference","hsraanz","Auckland","2019-12-04","The convergent validity of seven health state utility instruments",,,
"Health Services Research Association of Australia and New Zealand, 11th Health Services and Policy Research Conference","hsraanz","Auckland","2019-12-04","Modelling the cost-effectiveness of knee osteoarthritis treatments",,,
"New Zealand Orthopaedic Association Annual Scientific Meeting","nzoa","Dunedin","2019-10-02","The projected burden of knee osteoarthritis in New Zealand: total joint replacement and healthcare expenditure",,,
"Department of Orthopaedic Surgery, Dunedin Hospital","surgery","Seminar","2019-10-01","The projected burden of knee osteoarthritis in New Zealand: total joint replacement and healthcare expenditure",,,
"Department of Surgical Sciences, Dunedin School of Medicine","surgery","Departmental seminar","2019-09-30","The projected burden of knee osteoarthritis in New Zealand: total joint replacement and healthcare expenditure",,,
"OARSI World Congress","oarsi","Toronto","2019-05-02","The cost-effectiveness of recommended adjunctive osteoarthritis management options: Results from a computer simulation model","poster presentation",,
"OARSI World Congress","oarsi","Toronto","2019-05-02","Integrating values and preferences with the best available evidence: A multi-criteria decision analysis approach","poster presentation",,
"OARSI World Congress","oarsi","Toronto","2019-05-02","Projecting the healthcare burden of knee osteoarthritis in New Zealand: Results from a computer simulation model","poster presentation",,
"Department of Surgical Sciences, Dunedin School of Medicine,","surgery","Departmental seminar","2018-06-25","Age, Period, and Cohort Effects on Body Mass Index in New Zealand, 1997–2038",,,
"Department of Preventive and Social Medicine, Dunedin School of Medicine, University of Otago, and the Public Health Association Otago/Southland","psm","Public Health Seminar","2017-03-30","The development and validation of a new population-based simulation model of osteoarthritis in New Zealand",,,
"ISPOR 19th Annual European Congress","ispor","Vienna","2016-11-02","Modelling total knee replacement surgery for osteoarthritis in New Zealand: Validation of a population-based state-transition microsimulation model ","poster presentation",,
"Society for Medical Decision Making 38th Annual Meeting","smdm","Vancouver","2016-10-23","The health-loss burden of osteoarthritis in New Zealand: Results from a new computer simulation model","poster presentation",,
"Department of Surgical Sciences, Dunedin School of Medicine","surgery","Departmental seminar","2016-09-19","The development and validation of a new population-based simulation model of osteoarthritis in New Zealand",,,
"OARSI World Congress","oarsi","Amsterdam","2016-03-31","Health-loss burden of osteoarthritis in New Zealand: Computer-simulation estimate and between-model cross-validation","poster presentation",,
